,DateMinute,transaction_count
0,2022-08-05 01:41:00+00:00,9
1,2022-08-05 01:42:00+00:00,20
2,2022-08-05 01:43:00+00:00,15
3,2022-08-05 01:44:00+00:00,15
4,2022-08-05 01:45:00+00:00,10
5,2022-08-05 01:46:00+00:00,18
6,2022-08-05 01:47:00+00:00,13
7,2022-08-05 01:48:00+00:00,14
8,2022-08-05 01:49:00+00:00,16
9,2022-08-05 01:50:00+00:00,9
10,2022-08-05 01:51:00+00:00,16
11,2022-08-05 01:52:00+00:00,15
12,2022-08-05 01:53:00+00:00,11
13,2022-08-05 01:54:00+00:00,10
14,2022-08-05 01:55:00+00:00,6
15,2022-08-05 01:56:00+00:00,10
16,2022-08-05 01:57:00+00:00,10
17,2022-08-05 01:58:00+00:00,12
18,2022-08-05 01:59:00+00:00,13
19,2022-08-05 02:00:00+00:00,15
20,2022-08-05 02:01:00+00:00,14
21,2022-08-05 02:02:00+00:00,8
22,2022-08-05 02:03:00+00:00,15
23,2022-08-05 02:04:00+00:00,10
24,2022-08-05 02:05:00+00:00,15
25,2022-08-05 02:06:00+00:00,13
26,2022-08-05 02:07:00+00:00,11
27,2022-08-05 02:08:00+00:00,15
28,2022-08-05 02:09:00+00:00,11
29,2022-08-05 02:10:00+00:00,12
30,2022-08-05 02:11:00+00:00,12
31,2022-08-05 02:12:00+00:00,16
32,2022-08-05 02:13:00+00:00,14
33,2022-08-05 02:14:00+00:00,11
34,2022-08-05 02:15:00+00:00,13
35,2022-08-05 02:16:00+00:00,12
36,2022-08-05 02:17:00+00:00,9
37,2022-08-05 02:18:00+00:00,10
38,2022-08-05 02:19:00+00:00,9
39,2022-08-05 02:20:00+00:00,8
40,2022-08-05 02:21:00+00:00,15
41,2022-08-05 02:22:00+00:00,12
42,2022-08-05 02:23:00+00:00,12
43,2022-08-05 02:24:00+00:00,3
44,2022-08-05 02:25:00+00:00,13
45,2022-08-05 02:26:00+00:00,4
46,2022-08-05 02:27:00+00:00,10
47,2022-08-05 02:28:00+00:00,14
48,2022-08-05 02:29:00+00:00,13
49,2022-08-05 02:30:00+00:00,7
50,2022-08-05 02:31:00+00:00,14
51,2022-08-05 02:32:00+00:00,13
52,2022-08-05 02:33:00+00:00,11
53,2022-08-05 02:34:00+00:00,10
54,2022-08-05 02:35:00+00:00,7
55,2022-08-05 02:36:00+00:00,8
56,2022-08-05 02:37:00+00:00,20
57,2022-08-05 02:38:00+00:00,9
58,2022-08-05 02:39:00+00:00,18
59,2022-08-05 02:40:00+00:00,13
60,2022-08-05 02:41:00+00:00,7
61,2022-08-05 02:42:00+00:00,8
62,2022-08-05 02:43:00+00:00,16
63,2022-08-05 02:44:00+00:00,17
64,2022-08-05 02:45:00+00:00,6
65,2022-08-05 02:46:00+00:00,6
66,2022-08-05 02:47:00+00:00,12
67,2022-08-05 02:48:00+00:00,5
68,2022-08-05 02:49:00+00:00,8
69,2022-08-05 02:50:00+00:00,6
70,2022-08-05 02:51:00+00:00,9
71,2022-08-05 02:52:00+00:00,15
72,2022-08-05 02:53:00+00:00,17
73,2022-08-05 02:54:00+00:00,14
74,2022-08-05 02:55:00+00:00,13
75,2022-08-05 02:56:00+00:00,13
76,2022-08-05 02:57:00+00:00,15
77,2022-08-05 02:58:00+00:00,16
78,2022-08-05 02:59:00+00:00,12
79,2022-08-05 03:00:00+00:00,12
80,2022-08-05 03:01:00+00:00,10
81,2022-08-05 03:02:00+00:00,17
82,2022-08-05 03:03:00+00:00,3
83,2022-08-05 03:04:00+00:00,9
84,2022-08-05 03:05:00+00:00,15
85,2022-08-05 03:06:00+00:00,12
86,2022-08-05 03:07:00+00:00,9
87,2022-08-05 03:08:00+00:00,16
88,2022-08-05 03:09:00+00:00,9
89,2022-08-05 03:10:00+00:00,18
90,2022-08-05 03:11:00+00:00,10
91,2022-08-05 03:12:00+00:00,8
92,2022-08-05 03:13:00+00:00,8
93,2022-08-05 03:14:00+00:00,8
94,2022-08-05 03:15:00+00:00,14
95,2022-08-05 03:16:00+00:00,5
96,2022-08-05 03:17:00+00:00,12
97,2022-08-05 03:18:00+00:00,9
98,2022-08-05 03:19:00+00:00,11
99,2022-08-05 03:20:00+00:00,10
100,2022-08-05 03:21:00+00:00,15
101,2022-08-05 03:22:00+00:00,7
102,2022-08-05 03:23:00+00:00,11
103,2022-08-05 03:24:00+00:00,14
104,2022-08-05 03:25:00+00:00,7
105,2022-08-05 03:26:00+00:00,12
106,2022-08-05 03:27:00+00:00,11
107,2022-08-05 03:28:00+00:00,6
108,2022-08-05 03:29:00+00:00,9
109,2022-08-05 03:30:00+00:00,17
110,2022-08-05 03:31:00+00:00,13
111,2022-08-05 03:32:00+00:00,12
112,2022-08-05 03:33:00+00:00,10
113,2022-08-05 03:34:00+00:00,4
114,2022-08-05 03:35:00+00:00,6
115,2022-08-05 03:36:00+00:00,14
116,2022-08-05 03:37:00+00:00,12
117,2022-08-05 03:38:00+00:00,13
118,2022-08-05 03:39:00+00:00,11
119,2022-08-05 03:40:00+00:00,14
120,2022-08-05 03:41:00+00:00,8
121,2022-08-05 03:42:00+00:00,12
122,2022-08-05 03:43:00+00:00,10
123,2022-08-05 03:44:00+00:00,10
124,2022-08-05 03:45:00+00:00,14
125,2022-08-05 03:46:00+00:00,7
126,2022-08-05 03:47:00+00:00,8
127,2022-08-05 03:48:00+00:00,6
128,2022-08-05 03:49:00+00:00,12
129,2022-08-05 03:50:00+00:00,11
130,2022-08-05 03:51:00+00:00,11
131,2022-08-05 03:52:00+00:00,13
132,2022-08-05 03:53:00+00:00,6
133,2022-08-05 03:54:00+00:00,7
134,2022-08-05 03:55:00+00:00,9
135,2022-08-05 03:56:00+00:00,11
136,2022-08-05 03:57:00+00:00,15
137,2022-08-05 03:58:00+00:00,9
138,2022-08-05 03:59:00+00:00,8
139,2022-08-05 04:00:00+00:00,8
140,2022-08-05 04:01:00+00:00,12
141,2022-08-05 04:02:00+00:00,15
142,2022-08-05 04:03:00+00:00,6
143,2022-08-05 04:04:00+00:00,11
144,2022-08-05 04:05:00+00:00,11
145,2022-08-05 04:06:00+00:00,18
146,2022-08-05 04:07:00+00:00,13
147,2022-08-05 04:08:00+00:00,13
148,2022-08-05 04:09:00+00:00,17
149,2022-08-05 04:10:00+00:00,15
150,2022-08-05 04:11:00+00:00,13
151,2022-08-05 04:12:00+00:00,13
152,2022-08-05 04:13:00+00:00,15
153,2022-08-05 04:14:00+00:00,14
154,2022-08-05 04:15:00+00:00,7
155,2022-08-05 04:16:00+00:00,14
156,2022-08-05 04:17:00+00:00,18
157,2022-08-05 04:18:00+00:00,6
158,2022-08-05 04:19:00+00:00,18
159,2022-08-05 04:20:00+00:00,12
160,2022-08-05 04:21:00+00:00,13
161,2022-08-05 04:22:00+00:00,19
162,2022-08-05 04:23:00+00:00,16
163,2022-08-05 04:24:00+00:00,15
164,2022-08-05 04:25:00+00:00,20
165,2022-08-05 04:26:00+00:00,12
166,2022-08-05 04:27:00+00:00,12
167,2022-08-05 04:28:00+00:00,12
168,2022-08-05 04:29:00+00:00,12
169,2022-08-05 04:30:00+00:00,7
170,2022-08-05 04:31:00+00:00,9
171,2022-08-05 04:32:00+00:00,18
172,2022-08-05 04:33:00+00:00,16
173,2022-08-05 04:34:00+00:00,11
174,2022-08-05 04:35:00+00:00,16
175,2022-08-05 04:36:00+00:00,13
176,2022-08-05 04:37:00+00:00,17
177,2022-08-05 04:38:00+00:00,16
178,2022-08-05 04:39:00+00:00,9
179,2022-08-05 04:40:00+00:00,16
180,2022-08-05 04:41:00+00:00,27
181,2022-08-05 04:42:00+00:00,18
182,2022-08-05 04:43:00+00:00,23
183,2022-08-05 04:44:00+00:00,26
184,2022-08-05 04:45:00+00:00,15
185,2022-08-05 04:46:00+00:00,28
186,2022-08-05 04:47:00+00:00,9
187,2022-08-05 04:48:00+00:00,26
188,2022-08-05 04:49:00+00:00,24
189,2022-08-05 04:50:00+00:00,17
190,2022-08-05 04:51:00+00:00,16
191,2022-08-05 04:52:00+00:00,17
192,2022-08-05 04:53:00+00:00,17
193,2022-08-05 04:54:00+00:00,18
194,2022-08-05 04:55:00+00:00,24
195,2022-08-05 04:56:00+00:00,13
196,2022-08-05 04:57:00+00:00,23
197,2022-08-05 04:58:00+00:00,18
198,2022-08-05 04:59:00+00:00,30
199,2022-08-05 05:00:00+00:00,20
200,2022-08-05 05:01:00+00:00,32
201,2022-08-05 05:02:00+00:00,31
202,2022-08-05 05:03:00+00:00,29
203,2022-08-05 05:04:00+00:00,26
204,2022-08-05 05:05:00+00:00,39
205,2022-08-05 05:06:00+00:00,30
206,2022-08-05 05:07:00+00:00,19
207,2022-08-05 05:08:00+00:00,23
208,2022-08-05 05:09:00+00:00,26
209,2022-08-05 05:10:00+00:00,26
210,2022-08-05 05:11:00+00:00,30
211,2022-08-05 05:12:00+00:00,30
212,2022-08-05 05:13:00+00:00,26
213,2022-08-05 05:14:00+00:00,33
214,2022-08-05 05:15:00+00:00,35
215,2022-08-05 05:16:00+00:00,30
216,2022-08-05 05:17:00+00:00,39
217,2022-08-05 05:18:00+00:00,38
218,2022-08-05 05:19:00+00:00,36
219,2022-08-05 05:20:00+00:00,37
220,2022-08-05 05:21:00+00:00,32
221,2022-08-05 05:22:00+00:00,28
222,2022-08-05 05:23:00+00:00,39
223,2022-08-05 05:24:00+00:00,38
224,2022-08-05 05:25:00+00:00,46
225,2022-08-05 05:26:00+00:00,39
226,2022-08-05 05:27:00+00:00,47
227,2022-08-05 05:28:00+00:00,55
228,2022-08-05 05:29:00+00:00,33
229,2022-08-05 05:30:00+00:00,34
230,2022-08-05 05:31:00+00:00,39
231,2022-08-05 05:32:00+00:00,44
232,2022-08-05 05:33:00+00:00,32
233,2022-08-05 05:34:00+00:00,31
234,2022-08-05 05:35:00+00:00,33
235,2022-08-05 05:36:00+00:00,37
236,2022-08-05 05:37:00+00:00,46
237,2022-08-05 05:38:00+00:00,59
238,2022-08-05 05:39:00+00:00,48
239,2022-08-05 05:40:00+00:00,45
240,2022-08-05 05:41:00+00:00,69
241,2022-08-05 05:42:00+00:00,43
242,2022-08-05 05:43:00+00:00,24
243,2022-08-05 05:44:00+00:00,50
244,2022-08-05 05:45:00+00:00,39
245,2022-08-05 05:46:00+00:00,47
246,2022-08-05 05:47:00+00:00,42
247,2022-08-05 05:48:00+00:00,41
248,2022-08-05 05:49:00+00:00,60
249,2022-08-05 05:50:00+00:00,53
250,2022-08-05 05:51:00+00:00,44
251,2022-08-05 05:52:00+00:00,59
252,2022-08-05 05:53:00+00:00,63
253,2022-08-05 05:54:00+00:00,49
254,2022-08-05 05:55:00+00:00,50
255,2022-08-05 05:56:00+00:00,59
256,2022-08-05 05:57:00+00:00,58
257,2022-08-05 05:58:00+00:00,80
258,2022-08-05 05:59:00+00:00,46
259,2022-08-05 06:00:00+00:00,60
260,2022-08-05 06:01:00+00:00,56
261,2022-08-05 06:02:00+00:00,62
262,2022-08-05 06:03:00+00:00,83
263,2022-08-05 06:04:00+00:00,78
264,2022-08-05 06:05:00+00:00,59
265,2022-08-05 06:06:00+00:00,52
266,2022-08-05 06:07:00+00:00,75
267,2022-08-05 06:08:00+00:00,78
268,2022-08-05 06:09:00+00:00,90
269,2022-08-05 06:10:00+00:00,63
270,2022-08-05 06:11:00+00:00,80
271,2022-08-05 06:12:00+00:00,67
272,2022-08-05 06:13:00+00:00,61
273,2022-08-05 06:14:00+00:00,74
274,2022-08-05 06:15:00+00:00,79
275,2022-08-05 06:16:00+00:00,61
276,2022-08-05 06:17:00+00:00,82
277,2022-08-05 06:18:00+00:00,79
278,2022-08-05 06:19:00+00:00,95
